Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
3,2005.0,4.0,45.0,0.13,0.02,0.32,0.02,0.49,66.0,13.0,7.6,28.0,54.0,3
1,2009.0,2.0,48.0,1.17,0.39,0.0,0.15,1.71,89.0,25.0,8.9,43.0,55.0,1
8,2006.0,1.0,9.0,0.07,0.0,0.0,0.01,0.07,72.0,44.0,-1.0,-1.0,56.0,0
5,2008.0,10.0,2.0,0.0,0.0,0.03,0.0,0.03,-1.0,-1.0,-1.0,-1.0,,-1
9,2005.0,2.0,1.0,0.37,0.14,0.0,0.01,0.51,-1.0,-1.0,-1.0,-1.0,,-1
14,2000.0,1.0,5.0,1.58,0.05,0.0,0.04,1.67,90.0,14.0,6.8,4.0,41.0,0
4,2014.0,8.0,8.0,0.06,0.14,0.02,0.04,0.26,-1.0,-1.0,-1.0,-1.0,,-1
3,2008.0,2.0,8.0,0.18,0.0,0.0,0.01,0.19,-1.0,-1.0,-1.0,-1.0,,-1
5,2008.0,8.0,22.0,0.53,0.42,0.01,0.11,1.07,76.0,57.0,6.6,198.0,14.0,1
1,2011.0,8.0,40.0,0.64,0.28,0.0,0.1,1.02,61.0,11.0,6.0,5.0,57.0,3
18,1998.0,8.0,49.0,0.08,0.02,0.0,0.0,0.1,-1.0,-1.0,-1.0,-1.0,,-1
9,2005.0,9.0,15.0,0.71,0.52,0.74,0.08,2.06,-1.0,-1.0,-1.0,-1.0,,-1
5,2011.0,8.0,8.0,0.05,0.01,0.0,0.0,0.06,-1.0,-1.0,4.0,6.0,58.0,3
5,2009.0,1.0,25.0,0.88,0.02,0.0,0.08,0.97,82.0,46.0,7.6,34.0,17.0,0
12,2013.0,11.0,5.0,0.48,0.77,0.0,0.17,1.42,64.0,75.0,2.2,4572.0,16.0,3
11,2005.0,1.0,8.0,0.08,0.02,0.0,0.0,0.11,63.0,4.0,-1.0,-1.0,59.0,1
2,2015.0,8.0,21.0,0.0,0.0,0.19,0.0,0.19,-1.0,-1.0,-1.0,-1.0,,-1
16,2003.0,8.0,29.0,0.01,0.0,0.0,0.0,0.02,23.0,21.0,3.3,23.0,60.0,1
5,-1.0,8.0,2.0,0.25,0.15,0.0,0.04,0.45,70.0,54.0,6.9,180.0,61.0,2
21,1981.0,8.0,45.0,1.84,0.11,0.0,0.02,1.97,-1.0,-1.0,-1.0,-1.0,,-1
1,2009.0,2.0,48.0,0.21,0.0,0.0,0.02,0.22,-1.0,-1.0,-1.0,-1.0,55.0,1
10,2006.0,8.0,1.0,0.5,0.02,0.0,0.08,0.6,52.0,29.0,7.5,39.0,62.0,2
1,2011.0,2.0,3.0,0.0,0.0,0.39,0.0,0.39,-1.0,-1.0,-1.0,-1.0,,-1
8,2007.0,2.0,50.0,0.06,0.0,0.0,0.01,0.07,57.0,6.0,-1.0,-1.0,63.0,0
10,2005.0,1.0,5.0,0.78,2.55,0.04,0.84,4.21,80.0,32.0,7.8,47.0,64.0,0
1,2009.0,10.0,19.0,0.44,0.3,0.02,0.09,0.85,78.0,65.0,8.7,95.0,65.0,2
10,2003.0,8.0,51.0,0.1,0.07,0.0,0.02,0.2,57.0,19.0,8.0,21.0,66.0,1
8,2006.0,1.0,8.0,0.41,0.07,0.0,0.07,0.56,68.0,11.0,7.6,14.0,67.0,1
1,2012.0,2.0,28.0,0.05,0.15,0.0,0.02,0.22,-1.0,-1.0,-1.0,-1.0,,-1
16,2005.0,1.0,15.0,0.98,0.38,0.2,0.04,1.61,76.0,39.0,8.7,55.0,68.0,0
18,1999.0,1.0,2.0,0.05,0.0,0.0,0.0,0.05,-1.0,-1.0,-1.0,-1.0,,-1
16,2003.0,1.0,5.0,0.29,0.08,0.0,0.01,0.38,92.0,27.0,8.7,45.0,64.0,0
3,2009.0,8.0,52.0,0.02,0.0,0.0,0.0,0.02,-1.0,-1.0,-1.0,-1.0,69.0,3
5,2011.0,1.0,5.0,2.42,0.11,0.0,0.16,2.69,78.0,55.0,5.9,94.0,3.0,0
10,2003.0,12.0,9.0,0.19,0.15,0.0,0.05,0.4,73.0,39.0,8.3,22.0,70.0,1
9,2002.0,1.0,8.0,0.09,0.03,0.0,0.0,0.13,72.0,4.0,-1.0,-1.0,71.0,0
16,2004.0,2.0,15.0,0.3,0.08,0.0,0.01,0.39,69.0,30.0,6.0,9.0,21.0,1
9,2005.0,8.0,8.0,0.24,0.09,0.0,0.01,0.33,58.0,4.0,-1.0,-1.0,72.0,3
11,2005.0,11.0,18.0,0.1,0.03,0.0,0.0,0.13,76.0,33.0,8.2,5.0,73.0,1
9,2002.0,8.0,15.0,1.75,0.52,0.33,0.1,2.7,95.0,30.0,9.1,314.0,74.0,0
4,2013.0,4.0,3.0,0.32,0.32,0.15,0.15,0.93,77.0,32.0,7.9,187.0,75.0,1
22,2015.0,3.0,53.0,0.0,0.05,0.02,0.01,0.07,64.0,10.0,7.1,12.0,76.0,1
3,2010.0,5.0,54.0,0.06,0.11,0.0,0.02,0.18,-1.0,-1.0,-1.0,-1.0,77.0,3
7,2016.0,7.0,11.0,0.42,0.58,0.0,0.08,1.08,91.0,90.0,7.4,594.0,78.0,0
22,2015.0,2.0,29.0,0.17,0.13,0.0,0.06,0.36,73.0,10.0,6.8,20.0,79.0,3
10,2006.0,10.0,9.0,1.74,0.02,0.0,0.28,2.04,72.0,38.0,9.0,34.0,80.0,1
8,2011.0,8.0,3.0,0.0,0.0,0.12,0.0,0.12,-1.0,-1.0,-1.0,-1.0,,-1
10,2004.0,5.0,55.0,0.01,0.01,0.0,0.0,0.02,57.0,20.0,7.7,9.0,81.0,2
1,2009.0,11.0,8.0,0.08,0.0,0.0,0.01,0.09,-1.0,-1.0,-1.0,-1.0,82.0,0
9,2006.0,9.0,15.0,0.0,0.0,0.03,0.0,0.03,-1.0,-1.0,-1.0,-1.0,,-1
3,2009.0,6.0,56.0,0.0,0.24,0.0,0.02,0.26,-1.0,-1.0,-1.0,-1.0,,-1
14,2001.0,6.0,57.0,0.08,0.05,0.0,0.01,0.14,-1.0,-1.0,-1.0,-1.0,83.0,0
5,2014.0,10.0,8.0,1.31,0.43,0.0,0.18,1.92,-1.0,-1.0,4.7,504.0,84.0,1
7,2013.0,3.0,8.0,0.11,0.04,0.0,0.02,0.16,53.0,4.0,6.9,63.0,32.0,0
4,2008.0,8.0,21.0,0.58,0.45,0.34,0.2,1.57,84.0,63.0,8.2,311.0,74.0,2
10,2007.0,5.0,58.0,0.0,0.0,0.02,0.0,0.02,-1.0,-1.0,-1.0,-1.0,,-1
10,2005.0,8.0,2.0,0.34,0.01,0.15,0.06,0.55,94.0,53.0,9.3,439.0,85.0,2
11,2002.0,8.0,45.0,0.05,0.02,0.0,0.0,0.07,-1.0,-1.0,-1.0,-1.0,,-1
14,2000.0,1.0,5.0,0.39,0.26,0.0,0.05,0.7,-1.0,-1.0,-1.0,-1.0,,-1
13,2015.0,8.0,3.0,0.0,0.0,0.1,0.0,0.1,-1.0,-1.0,-1.0,-1.0,,-1
9,2002.0,9.0,59.0,0.0,0.0,0.02,0.0,0.02,-1.0,-1.0,-1.0,-1.0,,-1
9,2003.0,8.0,29.0,0.05,0.02,0.0,0.0,0.07,63.0,12.0,6.8,4.0,79.0,0
3,2006.0,2.0,2.0,0.0,0.0,0.05,0.0,0.05,-1.0,-1.0,-1.0,-1.0,,-1
12,-1.0,2.0,14.0,0.06,0.04,0.0,0.01,0.12,78.0,5.0,8.1,57.0,79.0,1
3,2009.0,8.0,25.0,0.15,0.0,0.0,0.01,0.17,-1.0,-1.0,-1.0,-1.0,,-1
1,2007.0,8.0,1.0,0.43,0.03,0.0,0.04,0.5,62.0,16.0,6.7,12.0,86.0,0
10,2007.0,2.0,9.0,0.04,1.08,0.0,0.32,1.44,73.0,13.0,7.5,8.0,56.0,3
3,2007.0,8.0,60.0,0.29,0.0,0.0,0.02,0.31,-1.0,-1.0,-1.0,-1.0,,-1
14,2000.0,1.0,9.0,0.18,0.12,0.0,0.02,0.33,69.0,9.0,-1.0,-1.0,87.0,0
10,2002.0,2.0,9.0,0.0,0.0,0.03,0.0,0.03,-1.0,-1.0,-1.0,-1.0,,-1
9,2004.0,2.0,15.0,0.09,0.03,0.0,0.0,0.13,-1.0,-1.0,-1.0,-1.0,,-1
3,2010.0,6.0,1.0,0.09,0.0,0.0,0.01,0.1,-1.0,-1.0,-1.0,-1.0,88.0,3
3,2008.0,11.0,29.0,0.46,0.3,0.0,0.09,0.84,-1.0,-1.0,-1.0,-1.0,79.0,0
20,2001.0,9.0,61.0,0.0,0.0,1.56,0.0,1.56,-1.0,-1.0,-1.0,-1.0,,-1
2,2011.0,11.0,5.0,0.3,0.37,0.03,0.07,0.76,52.0,29.0,3.3,31.0,89.0,1
8,2012.0,8.0,3.0,0.0,0.0,0.03,0.0,0.03,-1.0,-1.0,-1.0,-1.0,,-1
8,2008.0,8.0,9.0,1.48,1.0,0.04,0.66,3.18,91.0,79.0,8.6,565.0,90.0,2
10,2004.0,9.0,62.0,0.34,0.26,0.0,0.09,0.68,78.0,44.0,8.7,54.0,91.0,1
5,2008.0,2.0,63.0,0.05,0.0,0.0,0.0,0.06,52.0,23.0,6.1,7.0,92.0,1
10,-1.0,11.0,14.0,0.19,0.15,0.0,0.05,0.4,76.0,14.0,8.8,72.0,93.0,0
1,2009.0,8.0,15.0,0.09,0.02,0.32,0.01,0.44,55.0,26.0,7.2,22.0,94.0,1
14,1999.0,12.0,22.0,0.3,0.2,0.0,0.03,0.53,-1.0,-1.0,-1.0,-1.0,,-1
3,2006.0,9.0,64.0,0.0,0.0,0.03,0.0,0.03,-1.0,-1.0,-1.0,-1.0,,-1
4,2009.0,2.0,9.0,0.0,0.02,0.0,0.01,0.03,-1.0,-1.0,-1.0,-1.0,,-1
3,2008.0,8.0,64.0,0.06,0.0,0.0,0.0,0.07,56.0,23.0,-1.0,-1.0,95.0,1
10,2006.0,9.0,65.0,0.04,0.03,0.39,0.01,0.47,84.0,45.0,9.0,59.0,96.0,1
12,2012.0,12.0,29.0,0.0,0.06,0.0,0.01,0.08,86.0,11.0,8.4,337.0,97.0,3
10,2005.0,8.0,39.0,0.18,0.14,0.0,0.05,0.36,53.0,6.0,6.0,8.0,57.0,0
9,2001.0,12.0,62.0,0.2,0.07,0.0,0.01,0.28,58.0,10.0,-1.0,-1.0,98.0,0
5,2009.0,7.0,45.0,0.06,0.09,0.0,0.02,0.17,72.0,54.0,7.0,60.0,99.0,0
10,2007.0,2.0,19.0,0.0,0.0,0.02,0.0,0.02,-1.0,-1.0,-1.0,-1.0,,-1
14,1998.0,4.0,8.0,0.27,0.18,0.0,0.03,0.48,-1.0,-1.0,-1.0,-1.0,,-1
22,2016.0,9.0,26.0,0.0,0.0,0.03,0.0,0.03,-1.0,-1.0,-1.0,-1.0,,-1
1,2012.0,2.0,20.0,0.0,0.06,0.0,0.01,0.06,-1.0,-1.0,-1.0,-1.0,100.0,3
3,2007.0,10.0,8.0,0.95,0.01,0.01,0.08,1.05,75.0,22.0,6.9,36.0,101.0,1
10,2003.0,9.0,65.0,0.0,0.0,0.17,0.0,0.17,-1.0,-1.0,-1.0,-1.0,,-1
9,2005.0,8.0,8.0,0.35,0.13,0.0,0.01,0.48,-1.0,-1.0,-1.0,-1.0,26.0,0
8,2011.0,5.0,66.0,0.0,0.0,0.15,0.0,0.15,-1.0,-1.0,-1.0,-1.0,,-1
10,2004.0,8.0,1.0,0.22,0.17,0.0,0.06,0.45,-1.0,-1.0,-1.0,-1.0,,-1
2,2012.0,9.0,15.0,0.13,0.07,0.0,0.02,0.21,69.0,53.0,7.4,50.0,101.0,1
9,2002.0,10.0,67.0,0.03,0.01,0.0,0.0,0.04,65.0,9.0,-1.0,-1.0,102.0,0
1,2010.0,8.0,1.0,0.21,0.04,0.0,0.02,0.26,49.0,6.0,-1.0,-1.0,103.0,3
1,2010.0,12.0,1.0,0.21,0.01,0.0,0.02,0.24,56.0,4.0,-1.0,-1.0,103.0,0
18,1997.0,10.0,15.0,2.78,0.58,0.64,0.04,4.03,-1.0,-1.0,-1.0,-1.0,,-1
4,2013.0,2.0,29.0,0.53,0.24,0.05,0.16,0.98,-1.0,-1.0,-1.0,-1.0,,-1
10,2003.0,3.0,5.0,0.09,0.07,0.0,0.02,0.19,66.0,17.0,8.4,30.0,104.0,1
3,2009.0,11.0,20.0,0.04,0.0,0.0,0.0,0.04,-1.0,-1.0,-1.0,-1.0,105.0,1
3,2010.0,11.0,5.0,0.49,0.0,0.0,0.03,0.52,-1.0,-1.0,-1.0,-1.0,,-1
3,2010.0,11.0,15.0,0.25,0.0,0.0,0.02,0.26,87.0,4.0,5.6,9.0,106.0,0
14,1997.0,10.0,1.0,0.04,0.03,0.0,0.0,0.07,-1.0,-1.0,-1.0,-1.0,,-1
10,2005.0,5.0,9.0,0.0,0.0,0.08,0.0,0.08,-1.0,-1.0,-1.0,-1.0,,-1
1,2007.0,10.0,19.0,0.42,0.21,0.08,0.07,0.77,69.0,42.0,7.5,31.0,107.0,1
1,2010.0,3.0,3.0,0.0,0.0,0.03,0.0,0.03,-1.0,-1.0,-1.0,-1.0,,-1
14,1998.0,1.0,1.0,0.1,0.07,0.0,0.01,0.18,-1.0,-1.0,-1.0,-1.0,,-1
5,2011.0,10.0,25.0,0.52,0.25,0.0,0.07,0.83,49.0,76.0,4.4,456.0,108.0,2
3,2008.0,5.0,44.0,0.0,0.0,0.03,0.0,0.03,-1.0,-1.0,-1.0,-1.0,,-1
3,2009.0,5.0,26.0,0.0,0.0,0.08,0.0,0.08,-1.0,-1.0,-1.0,-1.0,,-1
5,2015.0,8.0,5.0,0.06,0.0,0.0,0.01,0.06,-1.0,-1.0,-1.0,-1.0,,-1
8,2008.0,3.0,3.0,0.0,0.0,0.18,0.0,0.18,-1.0,-1.0,-1.0,-1.0,,-1
3,2008.0,8.0,38.0,0.61,0.11,0.0,0.06,0.78,68.0,10.0,7.8,32.0,109.0,3
10,2005.0,8.0,9.0,0.05,0.04,0.0,0.01,0.1,51.0,45.0,6.2,24.0,21.0,2
5,2011.0,7.0,40.0,0.28,0.15,0.0,0.05,0.48,-1.0,-1.0,-1.0,-1.0,,-1
3,2009.0,5.0,29.0,0.07,0.08,0.0,0.02,0.17,-1.0,-1.0,-1.0,-1.0,,-1
1,2009.0,3.0,35.0,0.05,0.0,0.0,0.0,0.05,66.0,4.0,-1.0,-1.0,110.0,0
5,2009.0,2.0,2.0,0.08,0.0,0.0,0.01,0.08,-1.0,-1.0,-1.0,-1.0,29.0,1
